ID,Measure,Income ,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Value,Value_type,Denominator
159_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Asian,ONS 5+2,K02000001,6,%,2454
160_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Bangladeshi,ONS 5+2,K02000001,3,%,228
161_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Black,ONS 5+2,K02000001,4,%,1355
162_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Chinese,ONS 5+2,K02000001,6,%,213
163_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Indian,ONS 5+2,K02000001,7,%,1047
164_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Mixed,ONS 5+2,K02000001,4,%,491
165_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Other,ONS 5+2,K02000001,3,%,600
166_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Pakistani,ONS 5+2,K02000001,3,%,570
167_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,White,ONS 5+2,K02000001,4,%,61420
168_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,White British,ONS 5+2,K02000001,5,%,58941
169_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,White other,ONS 5+2,K02000001,4,%,2479
170_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,All,ONS 5+2,K02000001,3,%,66320
171_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Asian other,ONS 5+2,K02000001,4,%,396
172_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Asian,ONS 5+2,K02000001,3,%,2454
173_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Bangladeshi,ONS 5+2,K02000001,1,%,228
174_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Black,ONS 5+2,K02000001,1,%,1355
175_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Chinese,ONS 5+2,K02000001,6,%,213
176_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Indian,ONS 5+2,K02000001,3,%,1047
177_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Mixed,ONS 5+2,K02000001,1,%,491
178_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Other,ONS 5+2,K02000001,2,%,600
179_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Pakistani,ONS 5+2,K02000001,3,%,570
